Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
03/13/2026,54,0,54,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/14/2026,12,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/15/2026,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/16/2026,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/17/2026,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/18/2026,17,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/19/2026,12,0,12,4,1,0,1,3,0,3,0,0,0,0,0,0,0.333333333,0,0.333333333
03/20/2026,50,0,50,23,3,0,3,2,0,2,0,0,0,0,0,0,0.1,0,0.1
03/21/2026,21,0,21,4,7,0,7,1,0,1,0,0,0,0,0,0,0.380952381,0,0.380952381
03/22/2026,12,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/23/2026,74,0,74,10,3,0,3,3,0,3,0,0,0,0,0,0,0.081081081,0,0.081081081
03/24/2026,50,0,50,7,3,0,3,0,0,0,0,0,0,0,0,0,0.06,0,0.06
03/25/2026,47,0,47,7,9,0,9,0,0,0,0,0,0,0,0,0,0.191489362,0,0.191489362
03/26/2026,96,0,96,7,2,0,2,0,0,0,0,0,0,0,0,0,0.020833333,0,0.020833333
03/27/2026,77,0,77,11,32,0,32,0,0,0,0,0,0,0,0,0,0.415584416,0,0.415584416
03/28/2026,11,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/29/2026,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/30/2026,72,0,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/31/2026,89,0,89,21,9,0,9,2,0,2,0,0,0,0,0,0,0.123595506,0,0.123595506
04/01/2026,39,0,39,9,1,0,1,0,0,0,0,0,0,0,0,0,0.025641026,0,0.025641026
04/02/2026,69,0,69,17,4,0,4,0,0,0,1,0,1,0,0,0,0.072463768,0,0.072463768
04/03/2026,15,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2026,17,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2026,5,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/06/2026,19,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/07/2026,6,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/08/2026,35,0,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/2026,31,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/10/2026,16,0,16,9,0,0,0,1,0,1,0,0,0,0,0,0,0.0625,0,0.0625
04/11/2026,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
